director_name,actor_2_name,gross,actor_1_name,actor_3_name,facenumber_in_poster,budget,imdb_score
James Cameron,Joel David Moore,760505847,CCH Pounder,Wes Studi,0,237000000,7.9
Gore Verbinski,Orlando Bloom,309404152,Johnny Depp,Jack Davenport,0,300000000,7.1
Sam Mendes,Rory Kinnear,200074175,Christoph Waltz,Stephanie Sigman,1,245000000,6.8
Christopher Nolan,Christian Bale,448130642,Tom Hardy,Joseph Gordon-Levitt,0,250000000,8.5
Doug Walker,Rob Walker,,Doug Walker,,0,,7.1
Andrew Stanton,Samantha Morton,73058679,Daryl Sabara,Polly Walker,1,263700000,6.6
Sam Raimi,James Franco,336530303,J.K. Simmons,Kirsten Dunst,0,258000000,6.2
Nathan Greno,Donna Murphy,200807262,Brad Garrett,M.C. Gainey,1,260000000,7.8
Joss Whedon,Robert Downey Jr.,458991599,Chris Hemsworth,Scarlett Johansson,4,250000000,7.5
David Yates,Daniel Radcliffe,301956980,Alan Rickman,Rupert Grint,3,250000000,7.5
Zack Snyder,Lauren Cohan,330249062,Henry Cavill,Alan D. Purwin,0,250000000,6.9
Bryan Singer,Marlon Brando,200069408,Kevin Spacey,Frank Langella,0,209000000,6.1
Marc Forster,Mathieu Amalric,168368427,Giancarlo Giannini,Rory Kinnear,1,200000000,6.7
Gore Verbinski,Orlando Bloom,423032628,Johnny Depp,Jack Davenport,2,225000000,7.3
Gore Verbinski,Ruth Wilson,89289910,Johnny Depp,Tom Wilkinson,1,215000000,6.5
Zack Snyder,Christopher Meloni,291021565,Henry Cavill,Harry Lennix,0,225000000,7.2
Andrew Adamson,Pierfrancesco Favino,141614023,Peter Dinklage,Damián Alcázar,4,225000000,6.6
Joss Whedon,Robert Downey Jr.,623279547,Chris Hemsworth,Scarlett Johansson,3,220000000,8.1
Rob Marshall,Sam Claflin,241063875,Johnny Depp,Stephen Graham,4,250000000,6.7
Barry Sonnenfeld,Michael Stuhlbarg,179020854,Will Smith,Nicole Scherzinger,1,225000000,6.8
